Trial	Location_Of	Tar_Dir	Fixation_Dur	cresp	onset	onset_real	resp	rt	cort
1	1	2	1.25	up	5.02125079999678	5.09746869999799		0	0
2	2	4	0.75	right	7.59625079999678	7.61225820000982		0	0
3	1	1	1.25	left	9.67125079999678	9.67898980001337		0	0
4	2	4	0.75	right	12.2462507999968	12.2549192000006		0	0
5	2	3	0.5	down	14.3212507999968	14.3275973999989		0	0
6	1	1	0.5	left	16.1462507999968	16.1519272000005		0	0
7	2	1	1	left	17.9712507999968	17.9763767000113		0	0
8	1	2	0.5	up	20.2962507999968	20.3035920000111		0	0
9	2	3	1.25	down	22.1212507999968	22.1278617999924		0	0
10	2	3	1	down	24.6962507999968	24.7037342000112		0	0
11	1	1	0.75	left	27.0212507999968	27.0315439999977		0	0
12	2	3	1.5	down	29.0962507999968	29.1043118000089		0	0
13	2	3	0.75	down	31.9212507999968	31.9282634000119		0	0
14	1	4	0.5	right	33.9962507999968	34.0017131000059		0	0
15	2	1	1.5	left	35.8212507999968	35.8257892999973		0	0
16	1	4	0.75	right	38.6462507999968	38.6559987000073		0	0
17	1	2	1.25	up	40.7212507999968	40.7346030999906		0	0
18	2	3	0.5	down	43.2962507999968	43.3169889000128		0	0
19	1	2	1	up	45.1212507999968	45.128707099997		0	0
20	1	3	0.75	down	47.4462507999968	47.4564583000029		0	0
21	2	1	1.25	left	49.5212507999968	49.5290262000053		0	0
22	1	2	0.5	up	52.0962507999968	52.1051826000039		0	0
23	2	2	1.25	up	53.9212507999968	53.9293144000112		0	0
24	1	1	1.5	left	56.4962507999968	56.5051157000125		0	0
25	2	3	1.5	down	59.3212507999968	59.3291154000035		0	0
26	1	2	1.5	up	62.3962507999968	62.4019943999883		0	0
