Trial	shape	color	task	cresp	onset	onset_real	resp_raw	resp	rt	cort
1	2	2	2	Right	135.286255399988	135.327190200012			0	0
2	1	1	2	Left	138.286255399988	138.301825900009			0	0
3	2	1	1	Right	141.286255399988	141.295834899996			0	0
4	1	1	2	Left	144.286255399988	144.289630299987			0	0
5	2	2	2	Right	147.286255399988	147.296048499993			0	0
6	2	2	1	Right	150.286255399988	150.295870900009			0	0
7	1	2	2	Right	153.286255399988	153.296278099995			0	0
8	1	2	1	Left	156.286255399988	156.296063299989			0	0
9	2	1	2	Left	159.286255399988	159.296470200003			0	0
10	2	1	1	Right	162.286255399988	162.290463999991			0	0
11	2	1	1	Right	165.286255399988	165.298982800014			0	0
12	2	2	2	Right	168.286255399988	168.290486999991			0	0
13	2	1	2	Left	171.286255399988	171.296584900003			0	0
14	2	1	2	Left	174.286255399988	174.297279799997			0	0
15	2	2	2	Right	177.286255399988	177.290958800004			0	0
16	1	2	2	Right	180.286255399988	180.297154400003			0	0
17	2	2	2	Right	183.286255399988	183.291264200001			0	0
18	1	2	1	Left	186.286255399988	186.292981300008			0	0
19	2	2	1	Right	189.286255399988	189.292564600008			0	0
20	2	1	2	Left	192.286255399988	192.291446099989			0	0
