letter	cresp	onset	onset_real	resp_raw	resp	rt	cort
O	NaN	70.2544043000089	70.312457299995			0	0
X	NaN	72.2544043000089	72.2750625000044			0	0
E	NaN	74.2544043000089	74.262960299995			0	0
K	N	76.2544043000089	76.2630628999905			0	0
G	N	78.2544043000089	78.2632264000131			0	0
A	N	80.2544043000089	80.2632831000083			0	0
K	Y	82.2544043000089	82.2632766999886			0	0
E	N	84.2544043000089	84.263412100001			0	0
I	N	86.2544043000089	86.2633717999852			0	0
O	N	88.2544043000089	88.2634766999981			0	0
E	Y	90.2544043000089	90.2636092999892			0	0
M	N	92.2544043000089	92.2636167999881			0	0
A	N	94.2544043000089	94.2636675999966			0	0
O	N	96.2544043000089	96.2637825999991			0	0
B	N	98.2544043000089	98.2638345999876			0	0
E	N	100.254404300009	100.263836700004			0	0
O	Y	102.254404300009	102.263896599994			0	0
E	N	104.254404300009	104.263965799997			0	0
I	N	106.254404300009	106.264033999993			0	0
O	Y	108.254404300009	108.264179399994			0	0
A	N	110.254404300009	110.264257200004			0	0
I	Y	112.254404300009	112.264307300007			0	0
E	N	114.254404300009	114.264397999999			0	0
A	Y	116.254404300009	116.264454499993			0	0
O	N	118.254404300009	118.264513100003			0	0
X	N	120.254404300009	120.264534199989			0	0
B	N	122.254404300009	122.264581900003			0	0
K	N	124.254404300009	124.264773600007			0	0
X	Y	126.254404300009	126.264794399991			0	0
M	N	128.254404300009	128.264836699993			0	0
