number	letter	task	cresp	onset	onset_real	resp_raw	resp	rt	cort
1	G	number	left	395.483150799992	395.559201900003			0	0
8	A	letter	left	398.483150799992	398.504278100008			0	0
3	G	letter	right	401.483150799992	401.492297599994			0	0
4	U	number	right	404.483150799992	404.492421500006			0	0
2	B	letter	right	407.483150799992	407.492497700005			0	0
4	I	letter	left	410.483150799992	410.492534699995			0	0
8	B	number	right	413.483150799992	413.492651400011			0	0
5	K	letter	right	416.483150799992	416.492773700011			0	0
8	U	letter	left	419.483150799992	419.49283860001			0	0
4	A	letter	left	422.483150799992	422.486898100004			0	0
1	A	number	left	425.483150799992	425.487081700005			0	0
3	K	number	left	428.483150799992	428.493227700004			0	0
4	G	letter	right	431.483150799992	431.493281600007			0	0
1	K	letter	right	434.483150799992	434.493804500002			0	0
2	A	number	right	437.483150799992	437.493510700006			0	0
7	M	letter	right	440.483150799992	440.493982999993			0	0
5	E	letter	left	443.483150799992	443.493674500001			0	0
1	E	letter	left	446.483150799992	446.493940999993			0	0
8	K	number	right	449.483150799992	449.487820600014			0	0
6	I	number	right	452.483150799992	452.494029099995			0	0
