number	pic	task	cresp	onset	onset_real	resp_raw	resp	rt	cort
1	s067.jpg	s.jpg	N	460.521663099993	460.621917699988			0	0
2	s010.jpg	s.jpg	N	463.521663099993	463.555446999992			0	0
3	s060.jpg	l.jpg	Y	466.521663099993	466.543342699995			0	0
4	s045.jpg	s.jpg	Y	469.521663099993	469.537036900001			0	0
5	s007.jpg	s.jpg	N	472.521663099993	472.543119000009			0	0
6	s058.jpg	l.jpg	Y	475.521663099993	475.54365539999			0	0
7	s009.jpg	s.jpg	N	478.521663099993	478.54343369999			0	0
8	s065.jpg	s.jpg	N	481.521663099993	481.556760000007			0	0
9	s078.jpg	l.jpg	Y	484.521663099993	484.549622699997			0	0
10	s075.jpg	l.jpg	Y	487.521663099993	487.543689000013			0	0
11	s041.jpg	s.jpg	Y	490.521663099993	490.550206899992			0	0
12	s063.jpg	s.jpg	N	493.521663099993	493.550500000012			0	0
13	s050.jpg	l.jpg	Y	496.521663099993	496.544430699985			0	0
14	s039.jpg	s.jpg	Y	499.521663099993	499.544106999994			0	0
15	s011.jpg	s.jpg	N	502.521663099993	502.538111500005			0	0
16	s024.jpg	l.jpg	N	505.521663099993	505.544706099987			0	0
17	s028.jpg	l.jpg	N	508.521663099993	508.574748399988			0	0
18	s070.jpg	s.jpg	N	511.521663099993	511.544952700002			0	0
19	s077.jpg	l.jpg	Y	514.521663099993	514.544961200008			0	0
20	s023.jpg	l.jpg	N	517.521663099993	517.545069499989			0	0
