trial	onset	cresp	onset_real	resp	rt	cort
1	330.438787799998	NaN	330.4478581		0	0
2	332.438787799998	NaN	332.453632299992		0	0
3	334.438787799998	Y	334.447531000013		0	0
4	336.438787799998	N	336.447775200009		0	0
5	338.438787799998	N	338.447674099996		0	0
6	340.438787799998	N	340.447811199992		0	0
7	342.438787799998	N	342.447841199988		0	0
8	344.438787799998	N	344.447889300005		0	0
9	346.438787799998	N	346.447941099992		0	0
10	348.438787799998	Y	348.448049700004		0	0
11	350.438787799998	N	350.4480836		0	0
12	352.438787799998	N	352.448149100004		0	0
13	354.438787799998	N	354.448301099997		0	0
14	356.438787799998	Y	356.448325000005		0	0
15	358.438787799998	N	358.448373599997		0	0
16	360.438787799998	N	360.448502499989		0	0
17	362.438787799998	Y	362.448500800005		0	0
18	364.438787799998	N	364.448574899987		0	0
19	366.438787799998	Y	366.448624000011		0	0
20	368.438787799998	N	368.448820999998		0	0
21	370.438787799998	N	370.448861899989		0	0
22	372.438787799998	Y	372.448862299992		0	0
23	374.438787799998	Y	374.449020600005		0	0
24	376.438787799998	N	376.448987499985		0	0
25	378.438787799998	N	378.449001100002		0	0
26	380.438787799998	N	380.449091799994		0	0
27	382.438787799998	N	382.44918560001		0	0
28	384.438787799998	N	384.449284600007		0	0
29	386.438787799998	Y	386.449425700004		0	0
30	388.438787799998	N	388.449410000001		0	0
