orient	type	onset	onset_real	ssd	resp_raw	resp	rt	acc
right	go	200.330910199991	200.376791399991	1			0	-1
right	go	201.830910199991	201.855228500004	1			0	-1
left	stop1	203.330910199991	203.34012790001	0.2			0	1
left	go	204.830910199991	204.843225399993	1			0	-1
right	go	206.330910199991	206.334146400011	1			0	-1
right	stop2	207.830910199991	207.84335000001	0.6			0	1
left	go	209.330910199991	209.347113299998	1			0	-1
left	go	210.830910199991	210.837295200006	1			0	-1
right	stop1	212.330910199991	212.334350599995	0.25			0	1
left	go	213.830910199991	213.837487100012	1			0	-1
left	go	215.330910199991	215.340516199998	1			0	-1
left	go	216.830910199991	216.837588800001	1			0	-1
right	go	218.330910199991	218.340654600004	1			0	-1
right	go	219.830910199991	219.838468600006	1			0	-1
right	stop2	221.330910199991	221.340759899991	0.65			0	1
left	go	222.830910199991	222.83775169999	1			0	-1
right	stop1	224.330910199991	224.334732899995	0.3			0	1
left	go	225.830910199991	225.837824199989	1			0	-1
right	go	227.330910199991	227.340966299991	1			0	-1
right	go	228.830910199991	228.838021400006	1			0	-1
left	go	230.330910199991	230.34100819999	1			0	-1
left	go	231.830910199991	231.838100599998	1			0	-1
left	go	233.330910199991	233.341123999999	1			0	-1
right	stop2	234.830910199991	234.838096299995	0.7			0	1
right	go	236.330910199991	236.341304600006	1			0	-1
right	go	237.830910199991	237.838217000011	1			0	-1
left	stop1	239.330910199991	239.335242000001	0.35			0	1
left	go	240.830910199991	240.838362899987	1			0	-1
left	go	242.330910199991	242.335322700004	1			0	-1
left	go	243.830910199991	243.838394199993	1			0	-1
left	stop2	245.330910199991	245.335427299986	0.75			0	1
left	go	246.830910199991	246.838573799992	1			0	-1
right	stop1	248.330910199991	248.335498200002	0.4			0	1
right	go	249.830910199991	249.838614500011	1			0	-1
left	go	251.330910199991	251.335642699996	1			0	-1
left	go	252.830910199991	252.838775100012	1			0	-1
right	go	254.330910199991	254.335735800007	1			0	-1
right	go	255.830910199991	255.844868099986	1			0	-1
right	go	257.330910199991	257.338276099996	1			0	-1
right	stop2	258.830910199991	258.838906599995	0.8			0	1
